rows,duration,AccelX_mean,AccelX_std,AccelX_max,AccelX_min,AccelX_range,AccelX_median,AccelY_mean,AccelY_std,AccelY_max,AccelY_min,AccelY_range,AccelY_median,AccelZ_mean,AccelZ_std,AccelZ_max,AccelZ_min,AccelZ_range,AccelZ_median,GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_range,GyroX_median,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_range,GyroY_median,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_range,GyroZ_median,Total_A_mean,Total_A_std,Total_A_max,Total_A_min,Total_A_range,Total_A_median,A_peak,A_mean,A_std,A_range,A_min,A_peak_index_ratio,gyro_abs_peak,gyro_abs_mean,accel_abs_peak,AccelX_first,AccelX_last,AccelX_delta,AccelY_first,AccelY_last,AccelY_delta,AccelZ_first,AccelZ_last,AccelZ_delta,GyroX_first,GyroX_last,GyroX_delta,GyroY_first,GyroY_last,GyroY_delta,GyroZ_first,GyroZ_last,GyroZ_delta,label,label_name
25,2.4355878829956055,0.022400000000000003,0.06372336044706577,0.15,-0.1,0.25,0.01,-0.9712,0.33758110136676783,0.11,-2.0,2.11,-0.96,0.1388,0.10509202316700032,0.31,-0.06,0.37,0.14,-14.431599999999998,32.42040608423446,53.45,-106.18,159.63,-16.43,-51.9948,43.21175410309869,24.7,-152.28,176.98,-44.84,11.3484,48.613800825142924,118.63,-157.74,276.37,6.15,0.9976,0.30582238854167193,2.02,0.16,1.86,0.98,2.02,0.9976,0.30582238854167193,1.86,0.16,0.9583333333333334,157.74,67.19120000000001,2.0,0.09,-0.1,-0.19,-0.84,-0.74,0.09999999999999998,0.29,0.08,-0.20999999999999996,-12.93,24.63,37.56,-24.89,-28.35,-3.460000000000001,10.43,80.67,70.24000000000001,0,normal
24,2.3829352855682373,0.015416666666666667,0.13490670420916714,0.29,-0.25,0.54,0.02,-0.9958333333333335,0.37339705719092187,-0.45,-1.68,1.23,-1.04,0.08125,0.06428959615608923,0.26,-0.03,0.29000000000000004,0.08499999999999999,-4.835833333333333,28.065379867399788,62.0,-62.53,124.53,-1.5950000000000002,-2.4104166666666678,52.55708991010481,97.28,-92.37,189.65,-6.640000000000001,-1.8683333333333316,66.09852650246525,116.69,-158.89,275.58,-2.91,1.0104166666666667,0.36884637035971524,1.68,0.45,1.23,1.05,1.68,1.0104166666666667,0.36884637035971524,1.23,0.45,0.43478260869565216,158.89,63.67499999999999,1.68,-0.15,0.25,0.4,-0.96,-0.72,0.24,0.04,0.03,-0.010000000000000002,-2.08,-10.78,-8.7,-2.78,18.95,21.73,-8.32,39.36,47.68,0,normal
25,2.4621942043304443,0.2184,0.09637945839233586,0.5,0.03,0.47,0.22,0.006,0.1700245080373219,0.4,-0.21,0.61,-0.05,0.8992,0.11838918869558994,1.14,0.72,0.41999999999999993,0.9,-7.2296,43.52676882103701,58.87,-99.86,158.73,-6.61,-15.438000000000002,25.64139248038868,29.83,-58.95,88.78,-15.63,-11.308799999999998,44.88254832708737,107.85,-92.79,200.64,-10.87,0.9440000000000001,0.1282900359861721,1.24,0.77,0.47,0.93,1.24,0.9440000000000001,0.1282900359861721,0.47,0.77,0.0,107.85,50.577999999999996,1.14,0.29,0.2,-0.08999999999999997,0.39,-0.1,-0.49,1.14,0.91,-0.22999999999999987,-47.92,12.4,60.32,-38.98,14.78,53.76,-30.7,-5.71,24.99,0,normal
25,2.485245704650879,0.0916,0.3048316475258652,1.05,-0.35,1.4,0.0,-0.782,0.40408332474049624,0.58,-1.87,2.45,-0.87,-0.027599999999999993,0.515608701762619,0.36,-2.0,2.36,0.19,-8.9412,58.34009736879088,142.34,-132.55,274.89,-16.29,-41.6068,123.60800252950185,76.63,-510.57,587.2,-1.99,-15.245200000000002,55.559035877763996,89.31,-185.68,274.99,-0.83,0.9972,0.3611384775955063,2.13,0.48,1.65,0.94,2.13,0.9972,0.3611384775955063,1.65,0.48,0.6666666666666666,510.57,92.16679999999998,2.0,0.07,0.79,0.72,-0.84,-1.87,-1.0300000000000002,0.35,-0.58,-0.9299999999999999,-29.02,11.82,40.84,0.84,76.63,75.78999999999999,5.74,-81.68,-87.42,1,fall
25,3.3375890254974365,-0.07800000000000001,0.15016657417681206,0.2,-0.37,0.5700000000000001,-0.09,-0.9292,0.18511077764409073,-0.65,-1.53,0.88,-0.89,0.2676,0.21710750025429032,1.07,0.02,1.05,0.23,-27.637600000000003,35.5604265394366,61.18,-91.71,152.89,-33.66,-108.7208,56.37445778896681,-20.46,-224.57,204.10999999999999,-108.55,17.994,28.072768388600366,73.1,-26.73,99.83,13.22,0.992,0.24336187047275915,1.9,0.65,1.25,0.94,1.9,0.992,0.24336187047275915,1.25,0.65,0.08333333333333333,224.57,110.41239999999999,1.53,0.09,-0.13,-0.22,-0.65,-0.99,-0.33999999999999997,0.09,0.13,0.04000000000000001,61.18,-22.27,-83.45,-29.88,-40.98,-11.099999999999998,2.29,1.5,-0.79,0,normal
25,2.3914380073547363,0.298,0.4551831133364535,1.23,-0.5,1.73,0.41,0.7972,0.422024090939526,2.0,-0.13,2.13,0.88,-0.03919999999999999,0.574890714252138,1.12,-1.88,3.0,-0.03,-1.2524000000000017,156.06638481428345,446.17,-210.14,656.31,-54.37,-39.017199999999995,107.48899658879817,232.78,-247.42,480.2,-21.3,-13.935200000000002,135.16783441090314,418.27,-226.89,645.16,-20.26,1.11,0.4306197084822446,2.84,0.56,2.28,0.99,2.84,1.11,0.4306197084822446,2.28,0.56,0.5,446.17,166.9752,2.0,-0.12,0.52,0.64,0.96,1.15,0.18999999999999995,0.07,0.39,0.32,-30.47,-101.36,-70.89,-10.32,17.94,28.26,14.38,24.59,10.209999999999999,1,fall
25,2.48252534866333,-0.13119999999999998,0.15856964820965372,0.14,-0.41,0.55,-0.16,-0.8232,0.13186862148871253,-0.42,-1.02,0.6000000000000001,-0.83,0.4548,0.1319760079206318,0.8,0.22,0.5800000000000001,0.43,-18.841600000000003,38.24047045561373,70.12,-87.76,157.88,-19.1,-62.71280000000001,59.610730334395335,63.33,-138.58,201.91000000000003,-64.96,34.7404,49.378070662322706,88.64,-73.86,162.5,57.37,0.9712000000000001,0.151033108952971,1.32,0.58,0.7400000000000001,1.0,1.32,0.9712000000000001,0.151033108952971,0.7400000000000001,0.58,0.5,138.58,88.27,1.02,0.12,0.02,-0.09999999999999999,-0.74,-0.92,-0.18000000000000005,0.52,0.58,0.05999999999999994,1.98,-27.85,-29.830000000000002,-37.16,-99.51,-62.35000000000001,57.37,-13.13,-70.5,0,normal
25,2.4557905197143555,0.1396,0.20927414237470113,0.75,-0.21,0.96,0.09,-0.9584,0.44766691486714383,-0.03,-1.96,1.93,-0.96,-0.0208,0.26250269839882917,0.37,-0.72,1.0899999999999999,-0.02,-13.121200000000002,64.84561867235134,110.15,-212.31,322.46000000000004,-4.79,-43.628399999999985,95.67863361621897,177.83,-203.92,381.75,-71.91,-6.393600000000001,99.05478668730082,268.23,-262.63,530.86,7.13,1.016,0.46449793684507723,2.1,0.23,1.87,0.98,2.1,1.016,0.46449793684507723,1.87,0.23,0.8333333333333334,268.23,111.98360000000001,1.96,-0.07,-0.21,-0.13999999999999999,-0.99,-1.67,-0.6799999999999999,0.13,0.29,0.15999999999999998,23.22,0.46,-22.759999999999998,-203.92,23.14,227.06,23.22,-10.86,-34.08,0,normal
25,3.240701198577881,0.0684,0.46449506635341853,0.66,-2.0,2.66,0.11,-0.3892,0.36042706150713305,0.04,-2.0,2.04,-0.32,0.8136,0.3558192425000836,2.0,-0.29,2.29,0.83,-1.253600000000001,153.63319015000198,498.63,-501.91,1000.54,12.99,8.420399999999999,105.88097454531984,425.62,-83.22,508.84000000000003,-18.2,-49.6588,133.98731952813046,73.98,-502.2,576.18,-9.37,1.0255999999999998,0.4781568780222658,2.93,0.56,2.37,0.92,2.93,1.0255999999999998,0.4781568780222658,2.37,0.56,0.6666666666666666,502.2,88.39280000000001,2.0,0.12,0.25,0.13,-0.39,-0.34,0.04999999999999999,0.86,0.83,-0.030000000000000027,21.3,-8.24,-29.54,-27.85,-17.89,9.96,-29.91,1.75,31.66,1,fall
25,2.46880841255188,-0.1368,0.11078206834441515,0.1,-0.4,0.5,-0.13,-0.9408,0.08543613599252564,-0.75,-1.11,0.3600000000000001,-0.93,0.2148,0.10087616170334793,0.37,0.01,0.36,0.19,-5.053200000000001,37.71863616746148,113.89,-70.72,184.61,-8.99,16.8416,70.04641554474195,177.47,-145.07,322.53999999999996,15.48,-13.224,32.00961587294251,49.82,-75.25,125.07,-12.23,0.9832000000000001,0.09276852914647296,1.14,0.76,0.3799999999999999,0.99,1.14,0.9832000000000001,0.09276852914647296,0.3799999999999999,0.76,0.4166666666666667,177.47,62.62480000000001,1.11,0.05,-0.16,-0.21000000000000002,-1.0,-0.8,0.19999999999999996,0.26,0.34,0.08000000000000002,6.41,-31.02,-37.43,-145.07,39.88,184.95,14.76,-66.9,-81.66000000000001,0,normal
