file,rows,start_time,end_time,duration_seconds,max_total_a,max_abs_gyro
normal_165.csv,24,1773566999.8868303,1773567002.258197,2.3713667392730713,1.28,119.3
normal_166.csv,25,1773567003.2803533,1773567005.7375689,2.4572155475616455,1.09,190.84
normal_167.csv,25,1773567005.838641,1773567009.0764363,3.237795352935791,1.32,179.79
normal_168.csv,25,1773567010.7111886,1773567013.140705,2.429516553878784,1.1,207.42
normal_169.csv,25,1773567013.2485242,1773567016.492633,3.2441089153289795,1.3,102.84
normal_170.csv,25,1773567016.5902438,1773567019.8435652,3.253321409225464,1.21,187.59
normal_171.csv,25,1773567019.953813,1773567023.2358985,3.282085418701172,1.34,265.22
normal_172.csv,25,1773567023.3376577,1773567025.8200655,2.482407808303833,1.1,154.21
normal_173.csv,25,1773567027.20391,1773567029.6746032,2.4706931114196777,1.21,211.91
normal_174.csv,25,1773567029.7860377,1773567032.9563088,3.170271158218384,1.15,222.26
normal_175.csv,22,1773567033.073382,1773567035.236474,2.1630921363830566,1.2,194.58
normal_176.csv,25,1773567039.2276192,1773567041.70183,2.474210739135742,1.26,149.22
normal_177.csv,25,1773567043.448867,1773567045.9355388,2.4866716861724854,1.07,198.38
normal_178.csv,25,1773567046.0267208,1773567049.186046,3.159325122833252,1.25,138.5
normal_179.csv,22,1773567049.2885778,1773567051.4538002,2.165222406387329,1.23,173.28
normal_180.csv,25,1773567052.894868,1773567055.2477095,2.35284161567688,1.14,218.31
normal_181.csv,25,1773567055.338482,1773567058.486757,3.148275136947632,1.35,127.02
normal_182.csv,16,1773567058.6005852,1773567060.149562,1.5489766597747803,1.36,89.44
normal_183.csv,25,1773567061.7972054,1773567064.2676606,2.4704551696777344,1.44,134.18
normal_184.csv,25,1773567064.3825338,1773567067.6691985,3.2866647243499756,1.14,89.18
normal_185.csv,25,1773567067.7657475,1773567071.0514786,3.285731077194214,1.54,193.91
normal_186.csv,25,1773567073.191888,1773567075.6669424,2.4750542640686035,1.25,266.69
normal_187.csv,25,1773567075.7693555,1773567079.0166593,3.2473037242889404,1.22,121.8
normal_188.csv,25,1773567079.1173065,1773567082.3321867,3.2148802280426025,1.18,182.49
normal_189.csv,25,1773567082.4478662,1773567085.6315143,3.183648109436035,1.25,226.87
normal_190.csv,25,1773567085.7346237,1773567089.0412896,3.3066658973693848,1.29,174.46
normal_191.csv,25,1773567089.1331248,1773567091.597292,2.4641671180725098,1.23,204.03
normal_192.csv,25,1773567092.838494,1773567095.19161,2.353116035461426,1.19,275.68
normal_193.csv,25,1773567097.516172,1773567100.002071,2.485898971557617,1.26,151.5
normal_194.csv,25,1773567102.0880337,1773567104.5368,2.4487662315368652,1.25,111.1
normal_195.csv,25,1773567104.6345165,1773567107.913115,3.2785985469818115,1.17,148.66
normal_196.csv,25,1773567108.0147998,1773567111.3663297,3.351529836654663,1.18,134.09
normal_197.csv,25,1773567111.4299514,1773567113.901486,2.471534490585327,1.14,152.95
normal_198.csv,25,1773567113.998514,1773567117.2442577,3.245743751525879,1.19,136.73
normal_199.csv,15,1773567117.346974,1773567118.7946842,1.4477102756500244,1.14,180.06
normal_200.csv,25,1773567119.876865,1773567123.1371727,3.260307788848877,1.19,149.37
normal_201.csv,25,1773567123.2284863,1773567125.7123885,2.4839022159576416,1.16,171.12
normal_202.csv,25,1773567125.8106718,1773567129.0757077,3.26503586769104,1.37,130.58
normal_203.csv,25,1773567131.138952,1773567133.5775208,2.4385688304901123,1.22,310.82
normal_204.csv,26,1800430000.0,1800430002.4561508,2.456150770187378,1.3,115.34
normal_205.csv,23,1800430005.0,1800430007.4301407,2.430140733718872,1.34,263.6
normal_206.csv,24,1800430010.0,1800430013.1925614,3.192561388015747,1.1,201.51
normal_207.csv,23,1800430015.0,1800430018.5302997,3.530299663543701,1.36,108.94
normal_208.csv,26,1800430020.0,1800430023.0682354,3.068235397338867,1.33,306.55
normal_209.csv,26,1800430025.0,1800430028.2181404,3.2181403636932373,1.17,255.48
normal_210.csv,21,1800430030.0,1800430032.2895665,2.2895665168762207,1.19,165.11
normal_211.csv,24,1800430035.0,1800430037.4413712,2.441371202468872,1.91,211.18
normal_212.csv,15,1800430040.0,1800430041.5585413,1.5585412979125977,1.18,133.84
normal_213.csv,25,1800430045.0,1800430047.5407,2.5406999588012695,1.26,112.27
normal_214.csv,24,1800430050.0,1800430052.4269347,2.4269347190856934,1.26,238.07
normal_215.csv,27,1800430055.0,1800430057.2545743,2.2545742988586426,1.16,173.81
normal_216.csv,23,1800430060.0,1800430063.209382,3.2093820571899414,1.55,189.14
normal_217.csv,26,1800430065.0,1800430067.46015,2.4601500034332275,1.4,88.47
normal_218.csv,27,1800430070.0,1800430073.4232204,3.42322039604187,1.33,275.74
normal_219.csv,23,1800430075.0,1800430077.572978,2.5729780197143555,1.4,105.99
normal_220.csv,25,1800430080.0,1800430082.401599,2.4015989303588867,1.22,86.17
normal_221.csv,24,1800430085.0,1800430087.530131,2.5301311016082764,1.12,136.67
normal_222.csv,26,1800430090.0,1800430092.5275772,2.5275771617889404,1.47,306.05
normal_223.csv,23,1800430095.0,1800430098.257171,3.2571709156036377,1.25,203.87
normal_224.csv,17,1800430100.0,1800430101.836355,1.8363549709320068,2.23,272.75
normal_225.csv,25,1800430105.0,1800430107.3328311,2.3328311443328857,1.25,176.82
normal_226.csv,22,1800430110.0,1800430112.3929446,2.392944574356079,1.97,370.93
