1780823123.431948,-0.4541,-0.0493,1.0208,-23.6794,-26.4886,-8.3435,1.1183
1780823123.6319556,-0.4407,-0.2166,0.9163,9.6794,-4.2595,-2.4962,1.0395
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1780823135.3641267,0.0146,-0.9216,-0.1924,4.0229,-2.6565,0.5267,0.9416
1780823135.5627716,0.051,-0.9473,-0.3674,-8.2748,13.4809,-2.9771,1.0173
1780823135.7630453,0.0491,-0.9304,-0.3159,-3.1069,43.0153,1.4427,0.9838
1780823135.9661045,0.0378,-0.8643,-0.3164,3.2061,25.5114,2.8244,0.9211
1780823136.1646473,0.0669,-0.6941,-0.3298,26.6947,19.7634,-2.6565,0.7714
1780823136.363368,0.0352,-0.7168,-0.1523,1.4198,29.1756,2.2137,0.7337
1780823136.5630863,0.0696,-0.8401,0.0491,50.0458,76.2137,-20.2061,0.8444
1780823136.762877,1.5798,-2.0,-0.1641,57.4809,5.855,-83.0611,2.554
1780823136.9914346,-0.3748,-0.2424,0.2375,52.1756,-31.9084,-21.6107,0.5056
1780823137.162694,-0.418,0.1453,-0.3608,-96.5878,125.5725,25.3893,0.571
1780823137.3673918,0.0994,-0.2097,1.3706,40.3282,36.0229,-3.5115,1.3901
1780823137.563007,0.3418,-0.0752,0.7913,9.687,-52.6947,49.9466,0.8652
1780823137.7640047,0.6614,-0.0183,0.6694,13.1298,-46.9237,-8.4962,0.9412
1780823137.9626305,0.5005,-0.2854,0.6328,14.3969,36.5878,-24.2748,0.8558
1780823138.1619773,0.2791,-0.1096,0.8535,-22.6794,3.313,21.0534,0.9046
1780823138.3615568,0.3252,-0.1057,0.8616,-4.7328,-17.8855,5.3511,0.9269
1780823138.5618024,0.4746,-0.0815,0.7976,6.458,-0.2061,0.916,0.9317
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1780823147.7998817,0.0491,-0.9463,-0.1814,-3.9542,3.9084,6.5344,0.9648
1780823147.9998808,0.1379,-1.0437,-0.459,9.5267,1.2748,5.6107,1.1485
1780823148.1989255,0.0627,-0.9119,-0.2981,6.3588,12.0305,12.3817,0.9614
1780823148.3999455,0.0835,-0.844,-0.2256,19.8626,9.1374,9.6031,0.8776
1780823148.5994842,0.0066,-0.7126,-0.1931,-16.7099,-12.0534,9.7634,0.7384
1780823148.799905,0.0273,-0.6738,-0.1606,20.4275,-20.2061,5.6412,0.6933
1780823148.9991384,-0.0317,-0.8105,-0.1223,12.313,-32.6107,-0.1756,0.8203
1780823149.1992302,-0.1953,-0.7031,1.1882,111.8092,0.7023,250.1298,1.3944
1780823149.3999143,-0.6667,-0.6694,0.8423,111.4275,-70.4427,93.1603,1.2658
1780823149.5999248,-0.0647,-0.1426,0.8352,-218.7328,-15.5267,-89.0153,0.8498
1780823149.7999818,-0.4812,-0.5264,0.5276,24.3282,-65.9542,15.6031,0.8871
