AccelX_mean,AccelX_std,AccelX_max,AccelX_min,AccelX_range,AccelY_mean,AccelY_std,AccelY_max,AccelY_min,AccelY_range,AccelZ_mean,AccelZ_std,AccelZ_max,AccelZ_min,AccelZ_range,GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_range,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_range,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_range,Total_A_mean,Total_A_std,Total_A_max,Total_A_min,Total_A_range,A_peak,A_mean,A_std,A_range,A_min,label
0.024400000000000005,0.3129041386750901,1.01,-0.49,1.5,-0.9144000000000001,0.6408333116601643,0.14,-2.0,2.14,0.09319999999999999,0.33272511176645503,0.76,-0.54,1.3,-2.092000000000001,60.728704017677394,129.48,-98.4,227.88,-12.996799999999997,194.41730932284125,390.87,-367.53,758.4,10.8848,66.80030845238167,221.19,-100.12,321.31,1.0772,0.5381180167955725,2.25,0.31,1.94,2.25,1.0772,0.5381180167955725,1.94,0.31,0
-0.08440000000000002,0.1326046756340062,0.24,-0.28,0.52,-0.8964000000000002,0.39182138787973275,0.03,-2.0,2.03,0.2168,0.1718216129206878,0.62,-0.43,1.05,-3.834000000000001,49.85512653345357,129.48,-98.4,227.88,-93.57639999999999,104.2464279116236,53.18,-295.74,348.92,23.363199999999996,41.660218706419045,106.37,-100.12,206.49,0.9748,0.32056096664025285,2.01,0.31,1.6999999999999997,2.01,0.9748,0.32056096664025285,1.6999999999999997,0.31,0
-0.16879999999999998,0.10736697195444543,0.11,-0.34,0.45,-0.8943999999999999,0.1055572514483649,-0.63,-1.06,0.43000000000000005,0.30119999999999997,0.10740577265678042,0.62,0.14,0.48,-17.9664,33.89381763684935,32.95,-76.15,109.10000000000001,-91.6064,80.74703466588315,45.22,-207.42,252.64,26.457199999999997,43.79539839983192,110.52,-49.41,159.93,0.9692000000000001,0.10850960018972207,1.15,0.75,0.3999999999999999,1.15,0.9692000000000001,0.10850960018972207,0.3999999999999999,0.75,0
-0.168,0.139134227756269,0.11,-0.37,0.48,-0.9152000000000001,0.13102544282186826,-0.63,-1.26,0.63,0.35240000000000005,0.11737688585634454,0.62,0.13,0.49,-5.510800000000001,41.17014876501339,65.1,-76.15,141.25,-61.8804,89.3212350862511,69.72,-207.42,277.14,21.516399999999997,45.03887116332587,110.52,-49.41,159.93,1.0092,0.13634881737660948,1.3,0.75,0.55,1.3,1.0092,0.13634881737660948,0.55,0.75,0
-0.14800000000000002,0.14730919862656236,0.1,-0.37,0.47,-0.9176000000000001,0.13242230426429932,-0.64,-1.26,0.62,0.33039999999999997,0.12228654872879519,0.56,0.07,0.49000000000000005,-8.920000000000002,38.53721469783029,65.1,-77.04,142.14,-5.7356,41.57549038395899,69.72,-102.84,172.56,-8.5012,30.66901249904644,42.73,-63.15,105.88,1.0036,0.13689655461941572,1.3,0.73,0.5700000000000001,1.3,1.0036,0.13689655461941572,0.5700000000000001,0.73,0
-0.128,0.13391539617733778,0.1,-0.37,0.47,-0.8984000000000001,0.1478366215342689,-0.61,-1.21,0.6,0.2992,0.12844973076395813,0.56,0.07,0.49000000000000005,-6.287200000000001,39.139102732007885,92.15,-77.04,169.19,36.998799999999996,79.18397461608,187.59,-102.84,290.43,-22.021600000000003,32.58149777608963,42.73,-79.5,122.22999999999999,0.9719999999999999,0.1455163221085525,1.3,0.66,0.64,1.3,0.9719999999999999,0.1455163221085525,0.64,0.66,0
-0.10679999999999999,0.09204708939812636,0.09,-0.29,0.38,-0.9447999999999999,0.12278436382536662,-0.61,-1.21,0.6,0.1972,0.096588474122606,0.45,0.06,0.39,-2.6704000000000003,33.56599115672489,92.15,-62.14,154.29000000000002,42.604,75.90192976246827,187.59,-102.84,290.43,-14.94,30.424199249939182,42.73,-79.5,122.22999999999999,0.9803999999999999,0.11211898441685363,1.21,0.66,0.5499999999999999,1.21,0.9803999999999999,0.11211898441685363,0.5499999999999999,0.66,0
-0.0928,0.11300884921102418,0.18,-0.29,0.47,-0.9339999999999999,0.07041543391425868,-0.78,-1.15,0.3699999999999999,0.2176,0.09786385100400113,0.45,0.06,0.39,-1.6692000000000007,30.253797133583085,69.18,-62.14,131.32,-29.5412,122.93478394118837,163.57,-265.22,428.79,9.219199999999999,42.164377828525666,109.31,-79.5,188.81,0.9752,0.06898792164816486,1.18,0.8,0.3799999999999999,1.18,0.9752,0.06898792164816486,0.3799999999999999,0.8,0
-0.132,0.12861441080480315,0.18,-0.38,0.56,-0.9196000000000001,0.11559555931493792,-0.69,-1.17,0.48,0.2748,0.11402192771568107,0.49,0.1,0.39,-18.4512,32.473243000969276,69.18,-74.03,143.21,-87.8952,98.21300215687668,92.63,-265.22,357.85,26.337200000000003,43.94358945663558,109.31,-52.49,161.8,0.9840000000000001,0.11109305408830321,1.18,0.77,0.4099999999999999,1.18,0.9840000000000001,0.11109305408830321,0.4099999999999999,0.77,0
-0.12480000000000002,0.16505352667140036,0.2,-0.38,0.5800000000000001,-0.9396000000000001,0.1305590543266405,-0.69,-1.21,0.52,0.2884,0.14019866856238922,0.5,-0.07,0.5700000000000001,-17.5252,37.51964597825163,96.5,-74.03,170.53,-72.66640000000001,107.58203884633035,87.08,-265.22,352.3,16.077999999999996,53.369955577397036,109.31,-89.41,198.72,1.0131999999999999,0.1360367597379473,1.34,0.77,0.5700000000000001,1.34,1.0131999999999999,0.1360367597379473,0.5700000000000001,0.77,0
